8B3F53ED-5840-4DE6-BA45-0013BC32E7AD F85006D1-6C26-4A81-A4E4-AD507D26770B 2024-08-16 15:37:35.603 357.18                                   00
13B83E40-F319-4412-94C7-005C11898725 64F68FAD-A7B1-4709-9728-C7693F9A12B9 2024-12-01 05:41:46.900 498.54                                   00
1C4619B6-AD19-43BD-B4D2-007B69E0AC22 FF3A05F0-2EBF-4AC4-B647-85A208190465 2024-07-11 17:04:58.370 58.98                                    01
33924150-F6D3-4FB4-AF61-00904015F240 D2A84907-31F9-499F-8FBA-1C3AB92AB476 2025-01-25 15:24:36.863 109.14                                   00
9E7D90D9-ED61-43BC-BCF7-01FF28CC6406 7FDB2A4C-01A1-4977-99FE-1C4AABF25DFE 2024-05-04 09:43:00.393 446.16                                   10
70A84D15-BD5E-4F05-AD4F-0228DA26872A 516B0739-7AD4-411A-9949-3BD83C31703B 2024-08-19 11:51:31.170 384.76                                   10
8EE19642-5BC6-48B0-81B6-02481B42DEC8 492B591D-8D60-46F6-82BE-88BB8FC8BE76 2025-03-19 13:27:53.067 30.78                                    00
CA0C1654-C97B-4941-8A50-024B024103A8 4367F123-A78D-4500-AB80-20DF97B03DDE 2025-01-08 18:56:14.293 387.37                                   01
86923C68-3AB2-4CD7-BD95-0255E51A803F 6F4C4C11-4806-467E-A12B-0D40E022BAA3 2025-02-11 23:12:23.617 234.08                                   11
0F870F51-0E84-43D9-A50C-0257D5CAF8FC A32257E5-6466-4647-BDDB-234C26EF90CA 2024-09-16 15:44:54.237 403.35                                   10
A0D74D0F-1C96-4D56-914B-0272852AA086 BFB9A121-B3A8-48BC-BC35-8E28D68FD010 2024-08-15 04:06:23.510 207.76                                   01
F2CACF9E-A824-49BC-AB90-02A6D82B009A CF201377-AF34-441A-8C05-00C13AFA81FF 2024-05-28 02:57:09.837 318.64                                   10
19B69EBF-BCDB-42B2-881E-02DA9E764070 B4419A0A-D127-45B4-AEA4-A38A277D95D4 2024-05-16 23:45:24.847 310.94                                   00
D955B77F-92E4-4BF8-B84B-02F7746CC35E A4C3014D-2FE2-4E54-861D-C50D3106E0B1 2024-05-30 16:20:28.260 284.55                                   00
BC486DD5-FAAF-4FFE-8EC2-0314CF933CF7 086E66BF-3779-4A92-9132-3D581D8E0D42 2024-05-07 08:29:19.283 380.61                                   01
DBC2D7CF-3D51-49EF-BFD6-0345314EC03A 7CAF1AC9-BA45-4D1B-9CAD-4E51F3F1D0B4 2024-09-20 16:35:32.697 384.89                                   10
D78ECBD8-6DBD-4F16-8748-03617AB320BB EF0DB0D2-B10F-49C9-B327-22DE8304EAE5 2024-12-06 10:41:39.490 347.49                                   01
8C2186B9-0437-43F4-ADE8-03BD2AC224C1 F86849F2-7D78-41C2-AA13-4892ADDB1076 2024-06-18 12:47:50.747 143.40                                   10
